date,Trauma
2016-12-26,10.75
2016-12-27,13.66
2016-12-28,14.78
2016-12-29,13.88
2016-12-30,13.66
2016-12-31,10.97
2017-01-01,9.85
2017-01-02,12.31
2017-01-03,14.78
2017-01-04,17.24
2017-01-05,17.46
2017-01-06,15.89
2017-01-07,12.76
2017-01-08,12.98
2017-01-09,15.89
2017-01-10,17.24
2017-01-11,17.46
2017-01-12,17.69
2017-01-13,16.79
2017-01-14,13.88
2017-01-15,13.43
2017-01-16,15.22
2017-01-17,17.01
2017-01-18,19.03
2017-01-19,19.03
2017-01-20,15.45
2017-01-21,12.98
2017-01-22,13.66
2017-01-23,16.79
2017-01-24,19.48
2017-01-25,18.36
2017-01-26,16.57
2017-01-27,17.24
2017-01-28,15.0
2017-01-29,13.43
2017-01-30,18.58
2017-01-31,19.25
2017-02-01,20.15
2017-02-02,18.58
2017-02-03,17.46
2017-02-04,14.33
2017-02-05,14.55
2017-02-06,17.69
2017-02-07,20.6
2017-02-08,20.15
2017-02-09,19.7
2017-02-10,18.81
2017-02-11,15.45
2017-02-12,13.43
2017-02-13,17.91
2017-02-14,18.58
2017-02-15,19.03
2017-02-16,20.15
2017-02-17,19.7
2017-02-18,14.78
2017-02-19,14.78
2017-02-20,17.91
2017-02-21,20.6
2017-02-22,20.6
2017-02-23,19.25
2017-02-24,17.24
2017-02-25,13.66
2017-02-26,15.45
2017-02-27,19.03
2017-02-28,20.15
2017-03-01,19.92
2017-03-02,20.82
2017-03-03,18.81
2017-03-04,14.33
2017-03-05,16.12
2017-03-06,20.15
2017-03-07,19.92
2017-03-08,19.25
2017-03-09,19.03
2017-03-10,18.58
2017-03-11,15.89
2017-03-12,15.89
2017-03-13,21.04
2017-03-14,19.48
2017-03-15,20.37
2017-03-16,19.03
2017-03-17,16.57
2017-03-18,14.78
2017-03-19,15.67
2017-03-20,19.92
2017-03-21,22.39
2017-03-22,21.27
2017-03-23,20.82
2017-03-24,17.01
2017-03-25,14.55
2017-03-26,17.01
2017-03-27,20.37
2017-03-28,20.6
2017-03-29,20.15
2017-03-30,20.15
2017-03-31,17.46
2017-04-01,14.1
2017-04-02,14.1
2017-04-03,19.92
2017-04-04,19.92
2017-04-05,21.27
2017-04-06,20.6
2017-04-07,17.69
2017-04-08,15.89
2017-04-09,14.78
2017-04-10,20.6
2017-04-11,21.27
2017-04-12,20.37
2017-04-13,20.6
2017-04-14,17.46
2017-04-15,14.1
2017-04-16,14.33
2017-04-17,19.73
2017-04-18,20.09
2017-04-19,20.09
2017-04-20,20.79
2017-04-21,17.62
2017-04-22,15.15
